Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
11,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Response,High,Not Started,,Chrome on Windows 11 may be able to impersonate the context of Internet in order to gain additional privilege.,,Generated
12,Chrome on Windows 11 May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Response,High,Not Started,,Internet may be able to remotely execute code for Chrome on Windows 11.,,Generated
13,Elevation by Changing the Execution Flow in Chrome on Windows 11,Elevation Of Privilege,Diagram 1,HTTPS Response,High,Not Started,,An attacker may pass data into Chrome on Windows 11 in order to change the flow of program execution within Chrome on Windows 11 to the attacker's choosing.,,Generated
24,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Response,High,Not Started,,Chrome on Android may be able to impersonate the context of Internet in order to gain additional privilege.,,Generated
25,Chrome on Android May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Response,High,Mitigated,RAJSURYA\rajsu,Internet may be able to remotely execute code for Chrome on Android.,"[RS]:Apply strict input validation, enforce sandboxing, and keep Chrome on Android updated to prevent remote code execution.",03-07-2025 19:43:21
26,Elevation by Changing the Execution Flow in Chrome on Android,Elevation Of Privilege,Diagram 1,HTTPS Response,High,Not Started,,An attacker may pass data into Chrome on Android in order to change the flow of program execution within Chrome on Android to the attacker's choosing.,,Generated
35,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Request,High,Not Started,,Apache Tomcat Web & Application Server may be able to impersonate the context of Internet in order to gain additional privilege.,,Generated
36,Apache Tomcat Web & Application Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Request,High,Not Started,,Internet may be able to remotely execute code for Apache Tomcat Web & Application Server.,,Generated
37,Elevation by Changing the Execution Flow in Apache Tomcat Web & Application Server,Elevation Of Privilege,Diagram 1,HTTPS Request,High,Not Started,,An attacker may pass data into Apache Tomcat Web & Application Server in order to change the flow of program execution within Apache Tomcat Web & Application Server to the attacker's choosing.,,Generated
38,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS Request,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting, …  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
44,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,WS Request to App,High,Not Started,,Spotify may be able to impersonate the context of Apache Tomcat Web & Application Server in order to gain additional privilege.,,Generated
